trip_id,start_station_name,end_station_name,start_time,speed_kmh,rolling_avg_speed_last_4_trips
TRIP_00027,Station_11,Station_6,2024-03-09 12:41:20.000000 UTC,2.3941284323071597,2.3941284323071597
TRIP_00069,Station_11,Station_45,2024-05-19 12:41:20.000000 UTC,0.5276329942270912,1.4608807132671255
TRIP_00016,Station_13,Station_7,2023-10-10 12:41:20.000000 UTC,0.30102614509365549,0.30102614509365549
TRIP_00072,Station_14,Station_14,2023-12-07 12:41:20.000000 UTC,0.20922978372292186,0.20922978372292186
TRIP_00059,Station_14,Station_39,2024-03-17 12:41:20.000000 UTC,0.12666920036764168,0.16794949204528178
TRIP_00099,Station_14,Station_13,2024-06-12 12:41:20.000000 UTC,0.10211298831214521,0.14600399080090293
TRIP_00032,Station_16,Station_32,2023-12-03 12:41:20.000000 UTC,0.04619212873206948,0.04619212873206948
TRIP_00095,Station_16,Station_6,2024-02-02 12:41:20.000000 UTC,0.069637903595097833,0.05791501616358366
TRIP_00094,Station_18,Station_36,2024-07-02 12:41:20.000000 UTC,0.72874034569914448,0.72874034569914448
TRIP_00087,Station_19,Station_48,2024-01-01 12:41:20.000000 UTC,0.048855667672090049,0.048855667672090049
TRIP_00088,Station_19,Station_34,2024-01-12 12:41:20.000000 UTC,0.0280380809191456,0.038446874295617828
TRIP_00071,Station_20,Station_3,2024-07-25 12:41:20.000000 UTC,0.78095017599109251,0.78095017599109251
TRIP_00037,Station_22,Station_16,2024-07-17 12:41:20.000000 UTC,0.74985143403942323,0.74985143403942323
TRIP_00054,Station_23,Station_14,2024-04-29 12:41:20.000000 UTC,0.093685226011493025,0.093685226011493025
TRIP_00003,Station_24,Station_47,2023-10-10 12:41:20.000000 UTC,0.87996130631503,0.87996130631503
TRIP_00064,Station_26,Station_41,2024-04-29 12:41:20.000000 UTC,0.39414188853329418,0.39414188853329418
TRIP_00040,Station_26,Station_17,2024-06-03 12:41:20.000000 UTC,0.26025246559763543,0.32719717706546481
TRIP_00026,Station_27,Station_5,2023-12-19 12:41:20.000000 UTC,3.1981165012191792,3.1981165012191792
TRIP_00076,Station_27,Station_50,2024-02-05 12:41:20.000000 UTC,0.069365177179426848,1.6337408391993031
TRIP_00056,Station_28,Station_25,2023-10-10 12:41:20.000000 UTC,0.49882104839877006,0.49882104839877006
TRIP_00081,Station_28,Station_46,2023-10-14 12:41:20.000000 UTC,0.26541303905610486,0.38211704372743749
TRIP_00050,Station_3,Station_6,2024-01-22 12:41:20.000000 UTC,0.23497714766752489,0.23497714766752489
TRIP_00029,Station_32,Station_18,2024-04-15 12:41:20.000000 UTC,0.13141652181569186,0.13141652181569186
TRIP_00097,Station_33,Station_12,2024-03-01 12:41:20.000000 UTC,0.16975289765846963,0.16975289765846963
TRIP_00090,Station_35,Station_42,2023-12-14 12:41:20.000000 UTC,0.12456929335129845,0.12456929335129845
TRIP_00018,Station_37,Station_35,2023-12-02 12:41:20.000000 UTC,0.079059689182893869,0.079059689182893869
TRIP_00073,Station_37,Station_6,2024-04-19 12:41:20.000000 UTC,0.30004875204174275,0.1895542206123183
TRIP_00048,Station_40,Station_27,2023-11-05 12:41:20.000000 UTC,0.5542614385528416,0.5542614385528416
TRIP_00096,Station_40,Station_31,2023-12-08 12:41:20.000000 UTC,1.7146300685347797,1.1344457535438106
TRIP_00042,Station_40,Station_21,2024-01-28 12:41:20.000000 UTC,0.054768079500294553,0.77455319552930535
TRIP_00060,Station_41,Station_34,2024-06-26 12:41:20.000000 UTC,0.53980908376965009,0.53980908376965009
TRIP_00053,Station_42,Station_4,2024-05-12 12:41:20.000000 UTC,0.87935890699132757,0.87935890699132757
TRIP_00044,Station_43,Station_40,2024-06-15 12:41:20.000000 UTC,0.71595823743270093,0.71595823743270093
TRIP_00079,Station_45,Station_28,2024-03-22 12:41:20.000000 UTC,0.032873925290009584,0.032873925290009584
TRIP_00024,Station_46,Station_29,2024-01-11 12:41:20.000000 UTC,0.10072112410407164,0.10072112410407164
TRIP_00084,Station_46,Station_43,2024-01-16 12:41:20.000000 UTC,0.30525575633057789,0.20298844021732476
TRIP_00005,Station_47,Station_49,2024-04-25 12:41:20.000000 UTC,0.20125078620742262,0.20125078620742262
TRIP_00065,Station_49,Station_27,2023-12-26 12:41:20.000000 UTC,0.0613041835135295,0.0613041835135295
TRIP_00049,Station_5,Station_40,2023-11-02 12:41:20.000000 UTC,0.024925214878754928,0.024925214878754928
TRIP_00001,Station_5,Station_13,2023-12-10 12:41:20.000000 UTC,0.041674745252932827,0.033299980065843879
TRIP_00068,Station_5,Station_21,2024-03-16 12:41:20.000000 UTC,0.032520963431231432,0.033040307854306394
TRIP_00025,Station_50,Station_49,2023-10-29 12:41:20.000000 UTC,1.8956223147530216,1.8956223147530216
TRIP_00041,Station_6,Station_12,2024-03-23 12:41:20.000000 UTC,0.13145435093429114,0.13145435093429114
TRIP_00045,Station_7,Station_16,2024-05-28 12:41:20.000000 UTC,0.12661047507996243,0.12661047507996243
TRIP_00077,Station_8,Station_14,2024-05-08 12:41:20.000000 UTC,0.12850760138940923,0.12850760138940923
TRIP_00007,Station_9,Station_47,2023-10-26 12:41:20.000000 UTC,0.14849064298933118,0.14849064298933118
